s,x,y,kappa,altitude(m)
1279.8245,356.2396303,181.9838865,0.003412664,13.402
1280.824363,357.14238,181.5540209,0.003458595,13.416
1281.824226,358.0443092,181.1224279,0.003487189,13.43
1282.824088,358.946595,180.6915938,0.003498142,13.443
1283.823951,359.8505393,180.2642674,0.003492727,13.457
1284.823814,360.757444,179.8431977,0.003474377,13.471
1285.823677,361.6685278,179.4310026,0.003448676,13.484
1286.82354,362.5843052,179.0291864,0.003422706,13.497
1287.823403,363.5049357,178.6386932,0.003403814,13.51
1288.823266,364.4305765,178.2604628,0.00339797,13.522
1289.823129,365.361364,177.8953745,0.0034083,13.534
1290.822992,366.2967337,177.54225,0.003434444,13.545
1291.822855,367.2352625,177.1973905,0.003472726,13.556
1292.822717,368.1754748,176.856943,0.003517136,13.567
1293.82258,369.1158952,176.5170547,0.003560972,13.578
1294.822443,370.0553189,176.1745777,0.003598294,13.59
1295.822306,370.9937563,175.8295249,0.003624831,13.601
1296.822169,371.9315576,175.4827943,0.003638317,13.612
1297.822032,372.8690733,175.1352842,0.003638237,13.623
1298.821895,373.8066509,174.7878858,0.003625152,13.634
1299.821758,374.7444919,174.4411397,0.003600037,13.646
1300.821621,375.6825849,174.095076,0.003563833,13.657
1301.821483,376.6209019,173.7496846,0.003517167,13.668
1302.821346,377.5594149,173.4049555,0.003460396,13.679
1303.821209,378.4980807,173.0608183,0.003394057,13.69
1304.821072,379.4367274,172.7166808,0.003319328,13.701
1305.820935,380.3751165,172.371684,0.003238352,13.713
1306.820798,381.3130094,172.0249667,0.00315444,13.724
1307.820661,382.2501692,171.6756739,0.003071959,13.735
1308.820524,383.1869412,171.3248188,0.002995962,13.746
1309.820387,384.1250644,170.9778869,0.002931753,13.758
1310.820249,385.0664818,170.6410183,0.002884527,13.768
1311.820112,386.0131365,170.3203534,0.00285873,13.779
1312.819975,386.9666282,170.0209569,0.002857412,13.789
1313.819838,387.9259819,169.7398226,0.002881866,13.798
1314.819701,388.8890531,169.4702799,0.002931316,13.806
1315.819564,389.8536917,169.2056396,0.003002863,13.815
1316.819427,390.817773,168.9392922,0.00309199,13.824
1317.81929,391.7802525,168.6679831,0.003193183,13.832
1318.819153,392.7415382,168.3929695,0.003300644,13.841
1319.819015,393.7021403,168.1158267,0.003409093,13.85
1320.818878,394.662569,167.8381296,0.003514429,13.859
1321.818741,395.6232882,167.5613117,0.003613845,13.868
1322.818604,396.5843967,167.2856962,0.003705606,13.877
1323.818467,397.5458218,167.0110828,0.00378875,13.886
1324.81833,398.5074894,166.7372684,0.003862658,13.895
1325.818193,399.4693254,166.4640491,0.003926744,13.904
1326.818056,400.4312182,166.1910715,0.003980484,13.912
1327.817919,401.3929665,165.9176261,0.004023445,13.921
1328.817781,402.354356,165.6429514,0.004055262,13.93
1329.817644,403.3151722,165.3662861,0.004075817,13.939
1330.817507,404.2752391,165.0870023,0.004085664,13.948
1331.81737,405.2350204,164.806712,0.004086307,13.957
1332.817233,406.1955102,164.5288833,0.004080358,13.966
1333.817096,407.1577186,164.2570404,0.004071515,13.975
1334.816959,408.1226555,163.9947069,0.004063713,13.983
1335.816822,409.0910882,163.7449144,0.004060039,13.992
1336.816685,410.0630981,163.5093018,0.004061873,13.999
1337.816547,411.0386458,163.2892636,0.00406824,14.006
1338.81641,412.017692,163.0861942,0.004075774,14.013
1339.816273,413.0001015,162.9008086,0.00407956,14.019
1340.816136,413.9851341,162.7295351,0.004074337,14.024
1341.815999,414.9718139,162.5671348,0.004055551,14.03
1342.815862,415.9591648,162.4083652,0.00402025,14.02
1343.815725,416.9462261,162.2480673,0.003967433,13.99
1344.815588,417.9325601,162.0838814,0.003897489,13.96
1345.815451,418.9183612,161.916834,0.003811598,13.93
1346.815313,419.9038621,161.7481549,0.003711206,13.9
1347.815176,420.8892954,161.5790739,0.003597555,13.871
1348.815039,421.8748687,161.4106945,0.003471648,13.841
1349.814902,422.8606183,161.2432503,0.003334494,13.811
1350.814765,423.8465081,161.0766086,0.003187283,13.781
1351.814628,424.8325021,160.9106354,0.003031617,13.751
1352.814491,425.8185637,160.7451958,0.002869799,13.721
1353.814354,426.8046416,160.5799898,0.002704953,13.691
1354.814217,427.790652,160.4143666,0.002540932,13.661
1355.814079,428.776507,160.2476305,0.002382016,13.631
1356.813942,429.7621188,160.0790859,0.002232413,13.601
