s,x,y,kappa,altitude (m)
123.98719,-124.0116311,-3.328066066,0.000260204,6.243
124.9870867,-125.0090968,-3.397751234,0.000242341,6.264
125.9869834,-126.0065689,-3.46734153,0.0002234,6.285
126.9868801,-127.0040435,-3.536894757,0.00020362,6.305
127.9867768,-128.0015169,-3.60646499,0.000183274,6.325
128.9866735,-128.9989892,-3.676053501,0.000162651,6.345
129.9865702,-129.9964622,-3.745630424,0.000142,6.365
130.9864669,-130.9939379,-3.815169559,0.000121427,6.384
131.9863636,-131.9914155,-3.88468153,0.000100738,6.403
132.9862603,-132.9888928,-3.954196546,7.94E-05,6.422
133.986157,-133.9863682,-4.023740223,5.67E-05,6.441
134.9860537,-134.9838424,-4.093300122,3.19E-05,6.459
135.9859504,-135.9813176,-4.162845586,4.82E-06,6.477
136.9858471,-136.9787955,-4.232352174,-2.44E-05,6.494
137.9857438,-137.9762748,-4.3018401,-5.51E-05,6.512
138.9856405,-138.9737526,-4.37134879,-8.68E-05,6.529
139.9855371,-139.9712268,-4.44090837,-0.000118886,6.545
140.9854338,-140.9686995,-4.510490293,-0.000151051,6.562
141.9853305,-141.9661742,-4.580043362,-0.000183221,6.578
142.9852272,-142.9636537,-4.649527928,-0.000215547,6.594
143.9851239,-143.9611362,-4.718968842,-0.000248218,6.609
144.9850206,-144.9586184,-4.788413258,-0.000281233,6.574
145.9849173,-145.956098,-4.857897162,-0.000314297,6.528
146.984814,-146.9535761,-4.927401116,-0.000346884,6.481
147.9847107,-147.9510554,-4.996888553,-0.000378427,6.435
148.9846074,-148.9485378,-5.066328497,-0.000408474,6.388
149.9845041,-149.946024,-5.135714679,-0.000436709,6.342
150.9844008,-150.9435143,-5.205047653,-0.00046288,6.296
151.9842975,-151.9410071,-5.274349684,-0.000486735,6.251
152.9841942,-152.9384942,-5.343728554,-0.000508023,6.205
153.9840909,-153.9359657,-5.413313083,-0.000526513,6.159
154.9839876,-154.9334217,-5.483100119,-0.000542014,6.114
155.9838843,-155.9308975,-5.552622834,-0.000554372,6.069
156.9837809,-156.9284364,-5.62131258,-0.000563468,6.024
157.9836776,-157.9260857,-5.688463506,-0.000569208,5.979
158.9835743,-158.9239067,-5.752927816,-0.000571526,5.934
159.983471,-159.9219633,-5.813469245,-0.000570389,5.89
160.9833677,-160.9202794,-5.869573104,-0.000565793,5.846
161.9832644,-161.9187532,-5.922966405,-0.000557777,5.803
162.9831611,-162.9172592,-5.975809658,-0.000546416,5.759
163.9830578,-163.9157078,-6.029639049,-0.000531819,5.716
164.9829545,-164.9141157,-6.084166823,-0.000514129,5.672
