s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
42.9959472,-42.90946347,-2.726929454,-0.000506537,2.489,3.74727878041469,-0.0009431982047636449,-0.05404127637727287
43.99585295,-43.90799129,-2.7794075,-0.000512172,2.577,3.7463177959910317,-0.0009794006373883175,-0.05611552297477333
44.9957587,-44.90655118,-2.831272114,-0.00051621,2.665,3.7453201631306814,-0.001016508362712909,-0.05824163902320314
45.99566445,-45.90514341,-2.882510281,-0.000518654,2.754,3.7442849701772665,-0.0010545333704039526,-0.06042031147985244
46.9955702,-46.90376845,-2.933104519,-0.000519515,2.842,3.743211294387698,-0.0010934852913629949,-0.06265209215473273
47.99547595,-47.90242675,-2.983038134,-0.000518813,2.931,3.7420982048449387,-0.0011333749436300206,-0.06493760087587777
48.9953817,-48.90111807,-3.032307181,-0.000516577,3.02,3.7409447571711296,-0.0011742137408500232,-0.0672774915969745
49.99528744,-49.89984169,-3.080917059,-0.000512843,3.108,3.739749997635052,-0.0012160053945824054,-0.06967197697471217
50.99519319,-50.89859689,-3.128873785,-0.000507656,3.197,3.738512974412541,-0.0012587504838272759,-0.07212109018335329
51.99509894,-51.89738272,-3.176188218,-0.000501064,3.286,3.7372327326123678,-0.001302455816360151,-0.07462522127970285
52.99500469,-52.89619809,-3.222874425,-0.000493126,3.396,3.735908306819897,-0.0013471310445729483,-0.07718492330507992
53.99491044,-53.89504184,-3.268948766,-0.000483901,3.506,3.7345387228277613,-0.0013927852387240196,-0.07980071594700716
54.99481619,-54.89391181,-3.314451077,-0.000473459,3.616,3.7331229970814377,-0.0014394233475375552,-0.08247288274649463
55.99472194,-55.89280527,-3.359435211,-0.000461869,3.726,3.7316601454759075,-0.001487048501343446,-0.08520160305823359
56.99462769,-56.89171957,-3.40395345,-0.000449206,3.837,3.730149178195378,-0.0015356631503437353,-0.08798701726846005
57.99453344,-57.89065292,-3.4480419,-0.000435542,3.948,3.728589106233619,-0.0015852684550262993,-0.0908291918682315
58.99443918,-58.88960393,-3.491727961,-0.000420952,4.059,3.726978937468596,-0.0016358660265427198,-0.09372821916973374
59.99434493,-59.88857129,-3.535038346,-0.000405509,4.17,3.7253176796394625,-0.0016874556547076356,-0.09668408713023266
60.99425068,-60.88755392,-3.577994886,-0.00038929,4.281,3.723604341041509,-0.001740037613569554,-0.0996968114515511
61.99415643,-61.88655089,-3.620617048,-0.000372373,4.392,3.7218379288974965,-0.0017936132091015374,-0.1027664669604337
62.99406218,-62.88556138,-3.662921271,-0.000354836,4.503,3.7200174488729933,-0.001848181341196449,-0.10589299062538451
63.99396793,-63.88458549,-3.704902471,-0.000336759,4.615,3.7181419103890305,-0.0019037402294656862,-0.1090762804376507
64.99387368,-64.88362371,-3.746546189,-0.000318223,4.727,3.716210322669798,-0.0019602873708777628,-0.11231619298409212
65.99377943,-65.88267637,-3.787841731,-0.000299304,4.839,3.714221700140011,-0.0020178201312768818,-0.11561257733869905
66.99368518,-66.88174283,-3.828802508,-0.000280079,4.951,3.7121750572896777,-0.0020763346127985033,-0.1189652101702842
67.99359092,-67.88082204,-3.869451349,-0.000260616,5.063,3.7100694163571895,-0.0021358255920889396,-0.12237379220272639
68.99349667,-68.87991297,-3.909810671,-0.000240974,5.175,3.7079038022351796,-0.0021962889189011303,-0.12583808564438512
69.99340242,-69.87901474,-3.949900459,-0.000221196,5.288,3.7056772454576965,-0.002257717457967013,-0.1293576816745147
70.99330817,-70.87812653,-3.989739847,-0.000201308,5.4,3.7033887852275362,-0.0023201038922207374,-0.1329321610561235
71.99321392,-71.87724742,-4.029350127,-0.000181319,5.513,3.7010374666877084,-0.0023834425229377876,-0.13656119727634813
72.99311967,-72.8763761,-4.068763433,-0.000161223,5.626,3.6986223404348357,-0.0024477252410458473,-0.14024432571956916
73.99302542,-73.87551114,-4.108015288,-0.000140998,5.739,3.6961424678259225,-0.0025129077823643677,-0.14397901023505746
74.99293117,-74.87465132,-4.147135996,-0.000120611,5.852,3.693596987975346,-0.0025789818089301383,-0.1477647730927114
75.99283692,-75.87379634,-4.186132491,-0.000100016,5.965,3.690984978911722,-0.0026459731177467913,-0.15160309235196318
76.99274266,-76.87294619,-4.225005178,-7.92e-05,6.079,3.688305528183429,-0.002713884830077361,-0.15549414684801138
77.99264841,-77.87210064,-4.263759625,-5.8e-05,6.193,3.68555770752173,-0.0027827233972080056,-0.1594383062123253
78.99255416,-78.87125865,-4.302422001,-3.66e-05,6.306,3.6827405915682454,-0.0028524644434565444,-0.16343417382119324
79.99245991,-79.87041901,-4.341023614,-1.47e-05,6.42,3.679853300852953,-0.002923078328209943,-0.16748005139258618
80.99236566,-80.86958059,-4.379593703,7.42e-06,6.535,3.6768949692629946,-0.0029945507913076027,-0.1715751218794866
81.99227141,-81.86874253,-4.418154145,2.99e-05,6.649,3.6738647458426925,-0.0030668652028850805,-0.17571843246084806
82.99217716,-82.86790407,-4.456725174,5.28e-05,6.735,3.6707617977324567,-0.003140006629841371,-0.17990912753300792
83.99208291,-83.86706423,-4.49533212,7.59e-05,6.715,3.6675853038365633,-0.003213960637001246,-0.184146380021349
84.99198866,-84.86622139,-4.534016514,9.92e-05,6.696,3.6643344601595325,-0.0032887109837898276,-0.18842925940947403
85.9918944,-85.86537381,-4.572823088,0.000122398,6.676,3.6610084781130583,-0.003364239014819063,-0.1927566968223823
86.99180015,-86.86452017,-4.611785518,0.000145569,6.656,3.6576065909403304,-0.003440527237223236,-0.1971276899926968
87.9917059,-87.86366035,-4.650906004,0.00016888,6.635,3.654128045029557,-0.0035175581476786766,-0.20154123605384372
88.99161165,-88.86279448,-4.690181197,0.000192826,6.614,3.6505721086916054,-0.0035953129706875284,-0.20599625924903764
89.9915174,-89.86192233,-4.729615569,0.000218057,6.593,3.6469380658247665,-0.003673773490822869,-0.21049171591119387
90.99142315,-90.86104292,-4.769233526,0.000245208,6.572,3.643225221163537,-0.003752919167245581,-0.21502642913692332
91.9913289,-91.86015511,-4.809062597,0.00027477,6.55,3.6394328996802456,-0.003832728306038103,-0.21959915595630866
92.99123465,-92.85925785,-4.849127836,0.000306992,6.528,3.6355604494893727,-0.003913179803835862,-0.22420868723562626
93.9911404,-93.85835033,-4.88944862,0.000341814,6.506,3.6316072377622013,-0.003994252013714334,-0.22885378269746154
94.99104614,-94.85743174,-4.930043629,0.000378848,6.483,3.627572655939129,-0.004075922104226559,-0.23353313419626345
95.99095189,-95.85650064,-4.970945579,0.000417493,6.46,3.6234561167672,-0.00415816675928123,-0.23824540581840542
96.99085764,-96.85555436,-5.012216085,0.000457124,6.437,3.619257058308412,-0.004240962743367968,-0.24298926626720782
97.99076339,-97.85459006,-5.05392015,0.000497244,6.413,3.614974939855062,-0.004324287380361711,-0.24776341629640897
98.99066914,-98.85360558,-5.096105393,0.00053749,6.389,3.610609244772641,-0.0044081151978443995,-0.25256639644395995
99.99057489,-99.85260005,-5.138787201,0.000577561,6.365,3.6061594832898924,-0.004492421477958,-0.257396790480917
100.9904806,-100.8515727,-5.181977527,0.000617151,6.34,3.601625188379494,-0.0045771806127719635,-0.26225313118093746
101.9903864,-101.8505226,-5.225693258,0.00065595,6.315,3.5970059208928786,-0.004662367150201897,-0.26713396024700586
102.9902921,-102.8494481,-5.269959529,0.000693655,6.29,3.5923012653750876,-0.004747954679136475,-0.272037764433911
103.9901979,-103.8483477,-5.314801902,0.000729993,6.264,3.5875108351744833,-0.004833917112714811,-0.2769630490746233
104.9901036,-104.847221,-5.360226254,0.000764712,6.238,3.582634267047457,-0.0049202285184507585,-0.28190832834713436
