x_meter_interp,y_meter_interp,cumulative_distance,x_wall_left,y_wall_left,x_wall_right,y_wall_right
-141.7166499203024,-8.300519142762392,141.96051476603992,-141.46282569497944,-13.294072312864738,-141.97047414562533,-3.306965972660044
-142.71508284782252,-8.35126987189892,142.960236701012,-142.46125862249957,-13.344823042001266,-142.96890707314546,-3.357716701796572
-143.7135157753427,-8.40202060103545,143.95995863598412,-143.45969155001976,-13.395573771137798,-143.96734000066564,-3.4084674309331016
-144.71194870286286,-8.452771330171979,144.95968057095624,-144.4581244775399,-13.446324500274326,-144.9657729281858,-3.4592181600696312
-145.71038163038304,-8.503522059308509,145.95940250592835,-145.4565574050601,-13.497075229410857,-145.96420585570598,-3.50996888920616
-146.70881455790322,-8.554272788445036,146.95912444090047,-146.45499033258028,-13.547825958547385,-146.96263878322617,-3.560719618342689
-147.70724748542338,-8.605023517581568,147.95884637587258,-147.45342326010044,-13.598576687683916,-147.96107171074632,-3.6114703474792202
-148.70568041294354,-8.655774246718096,148.9585683108447,-148.4518561876206,-13.649327416820444,-148.95950463826648,-3.6622210766157473
-149.70411334046372,-8.706524975854625,149.9582902458168,-149.45028911514078,-13.700078145956974,-149.95793756578666,-3.712971805752277
-150.7025462679839,-8.757275704991155,150.95801218078893,-150.44872204266096,-13.750828875093504,-150.95637049330685,-3.7637225348888075
-151.70097919550406,-8.808026434127685,151.95773411576104,-151.44715497018112,-13.801579604230032,-151.954803420827,-3.814473264025337
-152.69941212302422,-8.858777163264213,152.95745605073313,-152.44558789770127,-13.85233033336656,-152.95323634834716,-3.865223993161865
-153.69784505054437,-8.909527892400742,153.95717798570524,-153.44402082522143,-13.903081062503091,-153.95166927586732,-3.9159747222983947
-154.69627797806456,-8.960278621537272,154.95689992067736,-154.4424537527416,-13.953831791639619,-154.9501022033875,-3.9667254514349244
-155.6947109055847,-9.011029350673802,155.95662185564947,-155.44088668026177,-14.00458252077615,-155.94853513090766,-4.017476180571454
-156.6931438331049,-9.061780079810331,156.9563437906216,-156.43931960778195,-14.05533324991268,-156.94696805842784,-4.068226909707983
-157.69157676062508,-9.112530808946861,157.9560657255937,-157.43572174060296,-14.105980338954097,-157.9474317806472,-4.119081278939626
-158.689962172102,-9.164093318991888,158.95578766056582,-158.3957667498323,-14.1554307202818,-158.98415759437174,-4.172755917701976
-159.68749786066599,-9.230172796180955,159.95550959553793,-159.35700857720883,-14.219238523701488,-160.01798714412314,-4.241107068660423
-160.68503354922998,-9.296252273370023,160.95523153051005,-160.35454426577283,-14.285318000890555,-161.01552283268714,-4.30718654584949
-161.68256923779396,-9.36233175055909,161.95495346548216,-161.3520799543368,-14.351397478079623,-162.0130585212511,-4.373266023038558
-162.6801049263579,-9.428411227748155,162.95467540045425,-162.34961564290074,-14.417476955268686,-163.01059420981505,-4.439345500227623
-163.67764061492187,-9.494490704937222,163.95439733542636,-163.34715133146472,-14.483556432457755,-164.00812989837902,-4.5054249774166895
-164.67517630348587,-9.56057018212629,164.95411927039848,-164.34468702002872,-14.549635909646822,-165.00566558694302,-4.571504454605757
-165.67271199204984,-9.626649659315357,165.9538412053706,-165.3422227085927,-14.615715386835888,-166.003201275507,-4.637583931794825
-166.6702476806138,-9.692729136504424,166.9535631403427,-166.33975839715666,-14.681794864024955,-167.00073696407097,-4.703663408983892
-167.66778336917778,-9.75880861369349,167.95328507531482,-167.33729408572063,-14.747874341214024,-167.99827265263494,-4.769742886172958
-168.66531905774178,-9.824888090882558,168.95300701028694,-168.33482977428463,-14.81395381840309,-168.99580834119894,-4.835822363362025
-169.66285474630575,-9.890967568071625,169.95272894525905,-169.3323654628486,-14.880033295592156,-169.9933440297629,-4.901901840551093
-170.66039043486973,-9.957047045260692,170.95245088023117,-170.32990115141257,-14.946112772781223,-170.99087971832688,-4.96798131774016
-171.6579261234337,-10.02312652244976,171.95217281520328,-171.32743683997654,-15.012192249970292,-171.98841540689085,-5.034060794929227
-172.65546181199767,-10.089205999638825,172.95189475017537,-172.3249725285405,-15.078271727159358,-172.98595109545482,-5.100140272118292
