s,x,y,kappa,altitude (m)
1850.825541,212.3840035,219.702385,0.023867664,2.196
1851.825447,211.5201616,219.1988074,0.022714976,2.217
1852.825353,210.664918,218.6797823,0.02161502,2.235
1853.825258,209.8133174,218.1548249,0.020568032,2.253
1854.825164,208.9649733,217.625278,0.019575075,2.268
1855.82507,208.1231662,217.085926,0.018638177,2.282
1856.824976,207.2912326,216.5314581,0.01776004,2.294
1857.824881,206.4710669,215.9593154,0.016943579,2.304
1858.824787,205.6628853,215.3701421,0.016191391,2.311
1859.824693,204.8668024,214.7647651,0.015505019,2.315
1860.824599,204.0826923,214.1440994,0.014883754,2.318
1861.824504,203.3101269,213.5091705,0.014324117,2.317
1862.82441,202.5486549,212.8610132,0.013820311,2.315
1863.824316,201.7976787,212.2007356,0.013365571,2.311
1864.824222,201.0564263,211.5295331,0.012953434,2.304
1865.824127,200.3241163,210.8486016,0.012578545,2.295
1866.824033,199.5999975,210.1590034,0.012236603,2.285
1867.823939,198.883351,209.4616543,0.011924091,2.273
1868.823845,198.1734439,208.7574747,0.011638298,2.259
1869.82375,197.4691831,208.0476625,0.011377886,2.243
1870.823656,196.7691162,207.3336927,0.011143124,2.226
1871.823562,196.0718399,206.6169884,0.010935684,2.207
1872.823468,195.3771931,205.8977519,0.010757448,2.188
1873.823373,194.6861336,205.1750857,0.010609165,2.166
1874.823279,193.999638,204.4480755,0.010489643,2.143
1875.823185,193.3183342,203.7161803,0.01039598,2.114
1876.823091,192.6425665,202.9791629,0.010324263,2.089
1877.822996,191.972679,202.2367895,0.010270241,2.066
1878.822902,191.3091285,201.4887471,0.010230106,2.013
1879.822808,190.6524553,200.7346651,0.010201405,1.958
1880.822714,190.0032005,199.9741755,0.010183535,1.901
1881.822619,189.361894,199.2069631,0.010177136,1.842
1882.822525,188.7290576,198.4327485,0.01018263,1.781
1883.822431,188.1052163,197.6512545,0.010199035,1.718
1884.822337,187.4909298,196.8622226,0.01022415,1.653
1885.822242,186.8867794,196.0654062,0.010255685,1.586
1886.822148,186.2933472,195.2605635,0.010292207,1.517
1887.822054,185.7112207,194.447498,0.010332821,1.445
1888.82196,185.1409909,193.6260406,0.01037615,1.372
1889.821865,184.583178,192.7960742,0.010419608,1.296
1890.821771,184.0375763,191.9580176,0.010459658,1.218
1891.821677,183.5035512,191.1126057,0.010492658,1.138
1892.821583,182.980284,190.2606607,0.010515849,1.057
1893.821488,182.4647475,189.4040318,0.010528193,0.973
1894.821394,181.9524238,188.5452611,0.010530977,0.889
1895.8213,181.4391692,187.6866884,0.010527849,0.804
1896.821206,180.9287436,186.8264128,0.01052439,0.717
1897.821111,180.4321359,185.9586552,0.01052719,0.628
1898.821017,179.9601824,185.0777141,0.01054268,0.537
1899.820923,179.5121863,184.183965,0.010575729,0.443
1900.820829,179.0747458,183.2844779,0.0106286,0.348
1901.820734,178.6339955,182.3865695,0.010701002,0.252
1902.82064,178.1855113,181.4927066,0.010791621,0.155
1903.820546,177.7384678,180.5983711,0.010900061,0.058
1904.820452,177.3030215,179.6985384,0.011027594,-0.041
1905.820357,176.8833803,178.7910911,0.011176148,-0.142
1906.820263,176.4735507,177.8788976,0.011346871,-0.244
1907.820169,176.0665923,176.9652912,0.011539462,-0.347
1908.820075,175.6605164,176.0513752,0.01175232,-0.451
1909.81998,175.2620844,175.1343127,0.011982809,-0.556
1910.819886,174.8789009,174.2108875,0.012227699,-0.663
1911.819792,174.5148616,173.2795778,0.012484404,-0.771
1912.819698,174.1677179,172.3416691,0.012752608,-0.881
1913.819603,173.8346395,171.3987078,0.013034588,-0.992
1914.819509,173.5125646,170.4520771,0.013333105,-1.019
1915.819415,173.1980871,169.5029179,0.013648251,-1.04
1916.819321,172.8878782,168.5523188,0.0139761,-1.062
1917.819226,172.5823281,167.6002064,0.014310535,-1.084
1918.819132,172.2864561,166.6450613,0.014646487,-1.107
1919.819038,172.0055411,165.6852969,0.014981649,-1.131
1920.818944,171.7440455,164.7199504,0.015315529,-1.155
1921.818849,171.5055462,163.748735,0.015647425,-1.18
1922.818755,171.2934437,162.7714321,0.015975304,-1.205
1923.818661,171.1081738,161.7885817,0.016295859,-1.23
1924.818567,170.9472499,160.8014717,0.016604989,-1.256
1925.818472,170.8079082,159.8114054,0.016898154,-1.282
1926.818378,170.6844372,158.8193723,0.017171202,-1.308
1927.818284,170.5684707,157.8260793,0.01742166,-1.334
1928.81819,170.4523458,156.8321813,0.01764958,-1.36
1929.818095,170.3422461,155.8376143,0.017856623,-1.387
1930.818001,170.2560791,154.8417051,0.018043814,-1.413
1931.817907,170.2108165,153.8438114,0.018209652,-1.439
1932.817813,170.2016077,152.8441319,0.018350192,-1.464
1933.817718,170.2055529,151.8435605,0.018460659,-1.489
1934.817624,170.2005703,150.842986,0.018537152,-1.514
1935.81753,170.1880119,149.8428469,0.018576846,-1.54
1936.817436,170.1889829,148.8432029,0.018577033,-1.565
1937.817341,170.2245796,147.8441504,0.018534392,-1.589
1938.817247,170.3032421,146.8467726,0.018445552,-1.612
1939.817153,170.4216608,145.8530688,0.018308633,-1.634
1940.817059,170.5757489,144.8649292,0.018124457,-1.654
1941.816964,170.7550424,143.88148,0.017896761,-1.673
1942.81687,170.9433305,142.8993573,0.017631492,-1.691
1943.816776,171.1250385,141.9153045,0.017335857,-1.71
1944.816682,171.3037417,140.9305445,0.017017277,-1.728
1945.816587,171.5020453,139.9507509,0.016682344,-1.659
