s,velocity,energy,time
15.81190086,28.00365254,1.167653419,3.79017633
15.81503205,28.00373684,1.167653419,3.790578859
15.81954104,28.00380312,1.167653419,3.791158508
15.82405003,28.00382266,1.167653419,3.791738156
15.82855902,28.00381095,1.167653419,3.792317805
15.83306801,28.00377835,1.167653419,3.792897454
15.837577,28.00373174,1.167653419,3.793477103
15.84208597,28.00367575,1.167653419,3.794056752
15.8478588,28.00359529,1.167653419,3.794798876
15.85363162,28.0035085,1.167653419,3.795541001
15.85940441,28.00341793,1.167653419,3.796283126
15.86673391,28.00329985,1.167653419,3.797225377
15.87406339,28.00317982,1.167653419,3.798167629
15.88139283,28.00305877,1.167653419,3.799109881
15.88831672,28.00294393,1.167653419,3.8
15.89270078,28.00287202,1.167653419,3.800563607
15.90146887,28.00272807,1.167653419,3.801690821
15.91023692,28.00258397,1.167653419,3.802818034
15.9287631,28.00227932,1.167653419,3.805199764
15.94728907,28.00197461,1.167653419,3.807581494
15.97066988,28.00159003,1.167653419,3.810587407
15.99405037,28.00120546,1.167653419,3.81359332
16.03425683,28.00054414,1.167653419,3.81876256
16.09271976,27.99958255,1.167653419,3.826279206
16.19825953,27.99784671,1.167653419,3.839849227
16.40433555,27.99445751,1.167653419,3.866348358
16.66599862,27.99015448,1.167653419,3.9
17.44314803,27.97737858,1.167653419,4
18.21994757,27.96478335,1.167653419,4.1
18.9964024,27.95237408,1.167653419,4.2
19.77251786,27.94015658,1.167653419,4.3
20.5482942,27.92794809,1.167653419,4.4
21.32373691,27.9159377,1.167653419,4.5
22.09885169,27.90413189,1.167653419,4.6
22.8736444,27.89253759,1.167653419,4.7
23.64812112,27.88116193,1.167653419,4.8
24.42228208,27.86979462,1.167653419,4.9
25.19613356,27.85865333,1.167653419,5
25.96968204,27.84774534,1.167653419,5.1
26.74293421,27.83707802,1.167653419,5.2
27.51589028,27.82641851,1.167653419,5.3
28.28855714,27.81600702,1.167653419,5.4
29.06094188,27.80585052,1.167653419,5.5
29.83305176,27.79595577,1.167653419,5.6
30.60489424,27.78632912,1.167653419,5.7
31.3764695,27.77670949,1.167653419,5.8
32.14778517,27.76736393,1.167653419,5.9
32.91884899,27.75829763,1.167653419,6
33.68966885,27.74951518,1.167653419,6.1
34.46024494,27.74073911,1.167653419,6.2
35.23058524,27.73225087,1.167653419,6.3
36.00069784,27.72405341,1.167653419,6.4
36.77059086,27.71614887,1.167653419,6.5
37.54027249,27.70853849,1.167653419,6.6
38.30974286,27.70093359,1.167653419,6.7
39.07901018,27.69362321,1.167653419,6.8
39.84808258,27.68660643,1.167653419,6.9
40.61696817,27.67988144,1.167653419,7
41.3856671,27.67316129,1.167653419,7.1
42.15418738,27.66673015,1.167653419,7.2
42.92253693,27.660584,1.167653419,7.3
43.69072354,27.65471781,1.167653419,7.4
44.45874731,27.64885583,1.167653419,7.5
45.22661587,27.6432679,1.167653419,7.6
45.99433661,27.63794687,1.167653419,7.7
46.76191674,27.63288467,1.167653419,7.8
47.52935636,27.62782609,1.167653419,7.9
48.2966624,27.62301743,1.167653419,8
49.06384152,27.61844863,1.167653419,8.1
49.8309001,27.61410883,1.167653419,8.2
50.59784417,27.60998631,1.167653419,8.3
51.3646738,27.60586673,1.167653419,8.4
52.13139469,27.601952,1.167653419,8.5
52.89801215,27.59822874,1.167653419,8.6
53.66453112,27.59468291,1.167653419,8.7
54.43095167,27.59113961,1.167653419,8.8
55.19727831,27.58775907,1.167653419,8.9
55.96351514,27.58452585,1.167653419,9
56.7296658,27.58142395,1.167653419,9.1
57.49573037,27.57832427,1.167653419,9.2
58.26171202,27.57533941,1.167653419,9.3
59.02761347,27.57245222,1.167653419,9.4
59.79343694,27.56964508,1.167653419,9.5
60.55918416,27.56689993,1.167653419,9.6
61.32485518,27.56415678,1.167653419,9.7
62.09045121,27.56145714,1.167653419,9.8
62.85597294,27.55878212,1.167653419,9.9
63.62142051,27.55611251,1.167653419,10
64.38679398,27.55344485,1.167653419,10.1
65.15209295,27.55076308,1.167653419,10.2
65.91731649,27.54804746,1.167653419,10.3
66.6824631,27.54527804,1.167653419,10.4
67.44753285,27.54251068,1.167653419,10.5
68.21252366,27.53966947,1.167653419,10.6
68.97743295,27.53673431,1.167653419,10.7
69.74225754,27.53368516,1.167653419,10.8
70.50699749,27.53063829,1.167653419,10.9
71.27164908,27.52745738,1.167653419,11
72.03620805,27.52412271,1.167653419,11.1
72.80066957,27.52061478,1.167653419,11.2
73.5650283,27.51691443,1.167653419,11.3
74.32928433,27.51321688,1.167653419,11.4
75.09343178,27.50930816,1.167653419,11.5
75.85746428,27.50517023,1.167653419,11.6
76.621375,27.5007856,1.167653419,11.7
77.385164,27.49640429,1.167653419,11.8
78.14882399,27.49175942,1.167653419,11.9
78.91234719,27.48683512,1.167653419,12
79.67572542,27.48161632,1.167653419,12.1
80.43895879,27.47640146,1.167653419,12.2
81.20203873,27.47087785,1.167653419,12.3
81.9649563,27.4650325,1.167653419,12.4
82.72770223,27.45885337,1.167653419,12.5
83.49027664,27.45267891,1.167653419,12.6
84.25266996,27.44615959,1.167653419,12.7
85.01487235,27.43928578,1.167653419,12.8
85.7768737,27.43204883,1.167653419,12.9
86.53866373,27.42444116,1.167653419,13
87.3002426,27.4168392,1.167653419,13.1
88.06159982,27.40885999,1.167653419,13.2
88.82272478,27.40049854,1.167653419,13.3
89.58360675,27.39175089,1.167653419,13.4
90.34424591,27.38300978,1.167653419,13.5
91.10463145,27.37387943,1.167653419,13.6
91.86475251,27.36435822,1.167653419,13.7
92.62459822,27.35444531,1.167653419,13.8
93.38416877,27.34453978,1.167653419,13.9
94.14345328,27.33424258,1.167653419,14
94.90244092,27.32355511,1.167653419,14.1
95.66112091,27.31247953,1.167653419,14.2
96.41949347,27.30141218,1.167653419,14.3
97.1775479,27.28995958,1.167653419,14.4
97.93527362,27.27812576,1.167653419,14.5
98.69266016,27.26591536,1.167653419,14.6
99.44970777,27.25371399,1.167653419,14.7
100.2064061,27.24114126,1.167653419,14.8
100.9627451,27.22820342,1.167653419,14.9
101.7187148,27.21490721,1.167653419,15
102.4743153,27.20162079,1.167653419,15.1
103.2295371,27.18798324,1.167653419,15.2
103.9843705,27.17400268,1.167653419,15.3
104.7388063,27.15968765,1.167653419,15.4
105.4928447,27.14538313,1.167653419,15.5
106.2464767,27.13075308,1.167653419,15.6
106.9996936,27.11580727,1.167653419,15.7
107.7524868,27.10055582,1.167653419,15.8
108.5048567,27.08531552,1.167653419,15.9
109.256795,27.06978001,1.167653419,16
110.0082939,27.05396046,1.167653419,16.1
110.7593458,27.03786831,1.167653419,16.2
111.5099435,27.02151538,1.167653419,16.3
112.2600872,27.00517432,1.167653419,16.4
113.0097701,26.98858454,1.167653419,16.5
113.7589856,26.97175866,1.167653419,16.6
114.5077276,26.95470951,1.167653419,16.7
115.2559962,26.93767269,1.167653419,16.8
116.0037858,26.92042558,1.167653419,16.9
116.7510909,26.90298161,1.167653419,17
117.4979063,26.88535431,1.167653419,17.1
118.2442324,26.86773972,1.167653419,17.2
118.9900645,26.84995542,1.167653419,17.3
119.7353982,26.83201536,1.167653419,17.4
120.480234,26.8140882,1.167653419,17.5
121.2245679,26.79601907,1.167653419,17.6
121.9683963,26.77782213,1.167653419,17.7
122.711716,26.75951152,1.167653419,17.8
123.4545275,26.74121401,1.167653419,17.9
124.196828,26.72281697,1.167653419,18
124.9386151,26.70433468,1.167653419,18.1
125.6798868,26.68578142,1.167653419,18.2
126.4206435,26.66724139,1.167653419,18.3
127.1608836,26.64864461,1.167653419,18.4
127.900606,26.63000533,1.167653419,18.5
128.6398098,26.61133775,1.167653419,18.6
129.3784955,26.59268342,1.167653419,18.7
130.1166626,26.57401493,1.167653419,18.8
130.8543111,26.55534646,1.167653419,18.9
131.5914414,26.53669211,1.167653419,19
132.3280539,26.51805095,1.167653419,19.1
133.0641494,26.49943799,1.167653419,19.2
133.7997291,26.48086726,1.167653419,19.3
134.5347944,26.46235275,1.167653419,19.4
135.2693459,26.44385127,1.167653419,19.5
136.0033853,26.42541996,1.167653419,19.6
136.7369151,26.40707272,1.167653419,19.7
137.469938,26.38882337,1.167653419,19.8
138.2024543,26.37058682,1.167653419,19.9
138.9344671,26.35246194,1.167653419,20
139.6659799,26.33446241,1.167653419,20.1
140.3969932,26.31647545,1.167653419,20.2
141.1275106,26.29862746,1.167653419,20.3
141.8575365,26.28093182,1.167653419,20.4
142.5870754,26.26340181,1.167653419,20.5
143.3161277,26.24588399,1.167653419,20.6
144.0446984,26.22854488,1.167653419,20.7
144.7727928,26.21139721,1.167653419,20.8
145.5004165,26.19445363,1.167653419,20.9
146.2275699,26.17752179,1.167653419,21
146.954259,26.16080649,1.167653419,21.1
147.6804901,26.14431973,1.167653419,21.2
148.4062635,26.12784437,1.167653419,21.3
149.131586,26.1116094,1.167653419,21.4
149.8564645,26.09562617,1.167653419,21.5
150.5809063,26.0799057,1.167653419,21.6
151.3049118,26.06419604,1.167653419,21.7
152.0284884,26.04875988,1.167653419,21.8
152.7516442,26.03360732,1.167653419,21.9
153.4743872,26.01874812,1.167653419,22
154.1967177,26.00389909,1.167653419,22.1
154.9186442,25.98935282,1.167653419,22.2
155.6401753,25.97511797,1.167653419,22.3
156.3613112,25.96089285,1.167653419,22.4
157.0820608,25.94698758,1.167653419,22.5
157.8024333,25.93340981,1.167653419,22.6
158.522438,25.92016683,1.167653419,22.7
159.242075,25.90693286,1.167653419,22.8
159.9613539,25.89404054,1.167653419,22.9
160.6802843,25.88149591,1.167653419,23
161.3988665,25.86895979,1.167653419,23.1
162.1171103,25.85677712,1.167653419,23.2
162.8350257,25.84495283,1.167653419,23.3
163.5526227,25.83349136,1.167653419,23.4
164.2699015,25.82203764,1.167653419,23.5
164.9868724,25.81095075,1.167653419,23.6
165.7035455,25.80023381,1.167653419,23.7
