s,velocity,energy,time
20.91658666,28.83133844,1.173322221,4.43
21.39784682,28.91988048,1.17853323,4.49
21.47819973,28.93421256,1.179380335,4.5
21.59763375,28.95517875,1.18062084,4.514849242
21.83667265,28.99660309,1.183076239,4.544547727
21.85650749,29,1.183277927,4.547010437
21.85650749,29,1.183277927,4.547010437
21.85657222,29.00001103,1.183277927,4.547018473
21.85663782,29.00002216,1.183277927,4.547026617
21.85670493,29.00003351,1.183277927,4.547034947
21.85670493,29.00003351,1.183277927,4.547034947
21.85670493,29.00003351,1.183277927,4.547034947
21.85670493,29.00003351,1.183277927,4.547034947
21.85674564,29.00004033,1.183277927,4.547040001
21.85674564,29.00004033,1.183277927,4.547040001
21.85678635,29.00004716,1.183277927,4.547045054
21.85686776,29.00006075,1.183277927,4.547055161
21.85694918,29.00007424,1.183277927,4.547065268
21.85712865,29.00010363,1.183277927,4.547087547
21.8575343,29.00016832,1.183277927,4.547137903
21.85793995,29.00023066,1.183277927,4.547188259
21.85834559,29.00029071,1.183277927,4.547238615
21.85875124,29.00034857,1.183277927,4.547288971
21.85926188,29.00041838,1.183277927,4.54735236
21.85977253,29.00048495,1.183277927,4.547415749
21.86028317,29.00054843,1.183277927,4.547479138
21.86079382,29.00060893,1.183277927,4.547542527
21.86147431,29.00068516,1.183277927,4.547627001
21.86215481,29.00075661,1.183277927,4.547711474
21.86283531,29.00082354,1.183277927,4.547795948
21.86365785,29.00089878,1.183277927,4.547898053
21.86448038,29.00096819,1.183277927,4.548000157
21.86530292,29.00103217,1.183277927,4.548102262
21.86630115,29.00110305,1.183277927,4.548226175
21.86729937,29.00116705,1.183277927,4.548350088
21.8682976,29.00122473,1.183277927,4.548474001
21.86954148,29.00128853,1.183277927,4.548628407
21.87078536,29.00134417,1.183277927,4.548782812
21.87229823,29.00140205,1.183277927,4.548970608
21.8738111,29.00145034,1.183277927,4.549158403
21.87569699,29.00149885,1.183277927,4.549392502
21.87758288,29.00153611,1.183277927,4.5496266
21.88011658,29.00157138,1.183277927,4.549941112
21.88265028,29.0015925,1.183277927,4.550255623
21.88670152,29.00160374,1.183277927,4.550758507
21.89179347,29.00158875,1.183277927,4.551390576
21.89688541,29.0015514,1.183277927,4.552022646
21.90197735,29.00149941,1.183277927,4.552654715
21.90706927,29.00143783,1.183277927,4.553286784
21.91216119,29.00136997,1.183277927,4.553918853
21.91725309,29.00129799,1.183277927,4.554550922
21.92362793,29.0012042,1.183277927,4.555342248
21.93000275,29.00110786,1.183277927,4.556133573
21.93767385,29.00099001,1.183277927,4.557085813
21.94534492,29.00087097,1.183277927,4.558038053
21.95471798,29.00072473,1.183277927,4.559201574
21.964091,29.00057804,1.183277927,4.560365094
21.97610699,29.00038973,1.183277927,4.56185671
21.9881229,29.0002013,1.183277927,4.563348325
22.00451764,28.99994413,1.183277927,4.565383529
22.02091222,28.99968695,1.183277927,4.567418732
22.04549629,28.9993013,1.183277927,4.5704706
22.07605106,28.99882198,1.183277927,4.574263729
22.11998822,28.99813275,1.183277927,4.579718283
22.18378674,28.99713198,1.183277927,4.587638747
22.28335098,28.99557022,1.183277927,4.6
22.53673093,28.99166012,1.183277927,4.631463111
23.08859381,28.98314473,1.183277927,4.7
23.79541418,28.97242746,1.183277927,4.787826721
23.89338095,28.97094205,1.183277927,4.8
24.383079,28.9636513,1.183277927,4.860866393
