s,velocity,energy
17.31164449,28.00009663,1.125707043
17.31164449,28.00009663,1.125707043
17.31170749,28.00011395,1.125707043
17.3118335,28.0001484,1.125707043
17.3119595,28.00018245,1.125707043
17.31216796,28.00023791,1.125707043
17.31257414,28.00034293,1.125707043
17.31298031,28.00044404,1.125707043
17.31338648,28.00054136,1.125707043
17.31379266,28.00063502,1.125707043
17.31430834,28.00074887,1.125707043
17.31482401,28.00085728,1.125707043
17.31533969,28.00096048,1.125707043
17.31585537,28.00105869,1.125707043
17.31653692,28.00118124,1.125707043
17.31721847,28.00129594,1.125707043
17.31790002,28.00140326,1.125707043
17.31872278,28.00152359,1.125707043
17.31954555,28.0016345,1.125707043
17.32036832,28.00173663,1.125707043
17.32136862,28.00184991,1.125707043
17.32236892,28.00195215,1.125707043
17.32336923,28.0020443,1.125707043
17.32462681,28.00214721,1.125707043
17.3258844,28.00223706,1.125707043
17.32742857,28.00233161,1.125707043
17.32897274,28.00241082,1.125707043
17.33092514,28.00249215,1.125707043
17.33287754,28.00255547,1.125707043
17.33557745,28.00261883,1.125707043
17.33887733,28.00266589,1.125707043
17.34386489,28.00269126,1.125707043
17.34885246,28.00267806,1.125707043
17.35384003,28.00264018,1.125707043
17.35882759,28.00258649,1.125707043
17.36381513,28.00252266,1.125707043
17.36880267,28.00245232,1.125707043
17.37482878,28.00236196,1.125707043
17.38085488,28.00226795,1.125707043
17.38688095,28.00217182,1.125707043
17.39468602,28.00204557,1.125707043
17.40249106,28.00191824,1.125707043
17.41232268,28.00175713,1.125707043
17.42215425,28.00159567,1.125707043
17.43489128,28.00138628,1.125707043
17.44762823,28.00117681,1.125707043
17.46544251,28.00088381,1.125707043
17.4832566,28.00059081,1.125707043
17.51116801,28.00013173,1.125707043
17.51476024,28.00007264,1.125707043
17.53272119,27.99978123,1.125707043
17.56864271,27.99919835,1.125707043
17.65886271,27.99773432,1.125707043
17.78191261,27.99573767,1.125707043
18.01666912,27.99192865,1.125707043
18.29236469,27.98745584,1.125707043
19.06944884,27.97502967,1.125707043
19.84619316,27.96279531,1.125707043
20.62260313,27.95075898,1.125707043
21.39867901,27.93873152,1.125707043
22.17442647,27.92690877,1.125707043
22.9498514,27.91529753,1.125707043
23.72495987,27.90390496,1.125707043
24.49975212,27.89252076,1.125707043
25.27423441,27.88136259,1.125707043
26.04841324,27.87043775,1.125707043
26.82229528,27.85975359,1.125707043
27.59588743,27.84931738,1.125707043
28.3691899,27.83888881,1.125707043
29.14220977,27.82871535,1.125707043
29.91495432,27.81880366,1.125707043
30.68743098,27.80916009,1.125707043
31.45963997,27.79952355,1.125707043
32.23158889,27.79016111,1.125707043
33.0032855,27.78107793,1.125707043
33.77473769,27.77227864,1.125707043
34.54595344,27.76376709,1.125707043
35.31693293,27.75526171,1.125707043
36.08768424,27.74704724,1.125707043
36.85821551,27.73912571,1.125707043
37.62853491,27.73149836,1.125707043
38.39864259,27.72387651,1.125707043
39.16854674,27.71654919,1.125707043
39.9382555,27.7095155,1.125707043
40.70777699,27.7027736,1.125707043
41.47711134,27.69603657,1.125707043
42.24626658,27.68958857,1.125707043
43.01525062,27.68342556,1.125707043
43.78407124,27.67754254,1.125707043
44.55273606,27.67193348,1.125707043
45.32124519,27.66632843,1.125707043
46.08960603,27.66099041,1.125707043
46.85782579,27.65591125,1.125707043
47.6259114,27.65108191,1.125707043
48.39386295,27.64625603,1.125707043
49.16168712,27.64167013,1.125707043
49.92939027,27.63731323,1.125707043
50.69697843,27.63317364,1.125707043
51.46445168,27.62903701,1.125707043
52.23181571,27.62510524,1.125707043
52.99907585,27.62136495,1.125707043
53.76623702,27.61780211,1.125707043
54.53329929,27.61424181,1.125707043
55.30026719,27.61084429,1.125707043
56.0671448,27.60759411,1.125707043
56.83393578,27.60447525,1.125707043
57.60064331,27.60147118,1.125707043
58.36726746,27.59846926,1.125707043
59.13381093,27.59556507,1.125707043
59.90027596,27.59274096,1.125707043
60.66666426,27.58997884,1.125707043
61.43297589,27.58721874,1.125707043
62.19921206,27.58450216,1.125707043
62.96537346,27.58181023,1.125707043
63.73146023,27.5791237,1.125707043
64.49747243,27.57643915,1.125707043
65.26340966,27.5737405,1.125707043
66.029271,27.57100801,1.125707043
66.79505493,27.56822174,1.125707043
67.56075942,27.56536166,1.125707043
68.32638453,27.5625037,1.125707043
69.09192763,27.5595518,1.125707043
69.85738557,27.5564859,1.125707043
70.62275463,27.55328603,1.125707043
71.38803487,27.55008858,1.125707043
72.15322202,27.54673731,1.125707043
72.91831126,27.54321279,1.125707043
73.68329726,27.53949587,1.125707043
74.44818008,27.53578177,1.125707043
75.21295388,27.5318565,1.125707043
75.97761227,27.52770204,1.125707043
76.7421484,27.5233009,1.125707043
77.50656238,27.5189031,1.125707043
78.27084687,27.51424174,1.125707043
79.03499412,27.50930098,1.125707043
79.79899594,27.50406572,1.125707043
80.56284377,27.49852186,1.125707043
81.32653772,27.49298219,1.125707043
82.09006885,27.48712067,1.125707043
82.85342789,27.48092537,1.125707043
83.61660526,27.4743854,1.125707043
84.37960111,27.46785036,1.125707043
85.14240557,27.46096068,1.125707043
85.90500857,27.4537079,1.125707043
86.6673998,27.4460844,1.125707043
87.42957943,27.43846663,1.125707043
88.19153697,27.43047162,1.125707043
88.95326182,27.4220944,1.125707043
89.71474324,27.41333099,1.125707043
90.47598141,27.40457414,1.125707043
91.23696552,27.39542806,1.125707043
91.99768472,27.38589114,1.125707043
92.75812812,27.37596253,1.125707043
93.51829593,27.36604132,1.125707043
94.27817728,27.35572846,1.125707043
95.03776132,27.34502535,1.125707043
95.79703727,27.33393415,1.125707043
96.55599443,27.32245789,1.125707043
97.31463305,27.31099016,1.125707043
98.07294252,27.29914105,1.125707043
98.83091239,27.28691538,1.125707043
99.58853235,27.27431855,1.125707043
100.3458027,27.26173102,1.125707043
101.1027132,27.24877824,1.125707043
101.8592539,27.23546711,1.125707043
102.6154152,27.22180503,1.125707043
103.3711972,27.208153,1.125707043
104.1265905,27.19415784,1.125707043
104.8815857,27.17982823,1.125707043
105.6361738,27.16517327,1.125707043
106.3903552,27.15052905,1.125707043
107.144121,27.13556896,1.125707043
107.8974628,27.12030324,1.125707043
108.6503723,27.10474249,1.125707043
109.4028499,27.0891931,1.125707043
110.1548876,27.07335956,1.125707043
110.906478,27.05725343,1.125707043
111.6576137,27.04088654,1.125707043
112.4082952,27.02453154,1.125707043
113.1585154,27.00792784,1.125707043
113.9082678,26.99108806,1.125707043
114.6575463,26.97402503,1.125707043
115.4063512,26.95697435,1.125707043
116.1546765,26.93971339,1.125707043
116.902517,26.92225559,1.125707043
117.6498674,26.90461449,1.125707043
118.3967281,26.88698611,1.125707043
119.1430944,26.86918804,1.125707043
119.888962,26.85123424,1.125707043
120.634327,26.83313858,1.125707043
121.3791897,26.81505592,1.125707043
122.1235465,26.7968454,1.125707043
122.8673943,26.77852123,1.125707043
123.6107303,26.76009761,1.125707043
124.353555,26.74168716,1.125707043
125.0958659,26.72319145,1.125707043
125.837661,26.70462479,1.125707043
126.5789388,26.68600145,1.125707043
127.3196997,26.66739138,1.125707043
