s,x,y,kappa,heading,track_width_left,track_width_right,normal_x,normal_y
2786.0,472.4717009175344,-306.47129751550597,1.6366302504789758e-05,4.242614922952063,6.000000000000059,5.999999999999982,0.891670591727205,-0.4526848305928268
2787.0,472.01901608528897,-307.3629681063943,1.0435037408833922e-05,4.242614920602602,6.000000000000032,6.000000000000006,0.8916705906636394,-0.4526848326877721
2788.0,471.56633125304336,-308.2546386972832,5.869178202206083e-06,4.2426149212315565,5.999999999999904,6.000000000000058,0.8916705909483581,-0.45268483212695115
2789.0,471.1136464207981,-309.1463092881712,2.6691255431302614e-06,4.242614921063185,5.999999999999955,6.000000000000108,0.8916705908721387,-0.4526848322770829
2790.0,470.66096158855277,-310.0379798790591,7.035533194611102e-07,4.2426149211082596,5.999999999999982,6.000000000000007,0.8916705908925435,-0.4526848322368911
2791.0,470.20827675630727,-310.9296504699477,-2.618848279230597e-07,4.2426149210961945,5.999999999999905,6.000000000000107,0.8916705908870814,-0.45268483224764966
2792.0,469.7555919240619,-311.8213210608358,-5.237337585926183e-07,4.242614921099425,6.000000000000057,6.000000000000033,0.8916705908885438,-0.4526848322447693
2793.0,469.3029070918166,-312.7129916517238,-3.9664231369549855e-07,4.2426149210985615,6.000000000000057,5.999999999999956,0.8916705908881531,-0.45268483224553907
2794.0,468.85022225957124,-313.6046622426121,-1.6238253039014268e-07,4.242614921098794,6.000000000000032,5.999999999999956,0.8916705908882584,-0.45268483224533157
2795.0,468.3975374273258,-314.4963328335004,-1.6319136412290457e-08,4.242614921098733,6.000000000000008,5.999999999999881,0.8916705908882304,-0.4526848322453869
2796.0,467.9448525950805,-315.3880034243886,3.6828092390909603e-09,4.242614921098749,5.999999999999981,5.99999999999993,0.8916705908882379,-0.45268483224537176
2797.0,467.49216776283515,-316.2796740152768,-9.859231946705823e-10,4.2426149210987445,5.999999999999957,6.000000000000032,0.8916705908882357,-0.4526848322453761
2798.0,467.03948293058977,-317.17134460616506,2.6390885204413387e-10,4.242614921098745,5.999999999999982,5.999999999999982,0.8916705908882362,-0.4526848322453757
2799.0,466.5867980983444,-318.06301519705335,-7.066720560427137e-11,4.242614921098744,6.000000000000007,6.000000000000007,0.8916705908882355,-0.4526848322453766
2800.0,466.13411326609895,-318.95468578794157,1.8871613932845846e-11,4.242614921098743,6.000000000000008,6.000000000000034,0.8916705908882352,-0.4526848322453774
2801.0,465.6814284338537,-319.84635637882974,-4.993468108540785e-12,4.2426149210987445,6.000000000000108,6.000000000000083,0.8916705908882357,-0.4526848322453761
2802.0,465.2287436016082,-320.73802696971813,1.0047727656904584e-12,4.242614921098745,6.000000000000034,6.000000000000034,0.8916705908882366,-0.45268483224537476
2803.0,464.77605876936303,-321.6296975606059,8.558232140788141e-13,4.242614921098745,5.999999999999982,6.000000000000008,0.8916705908882364,-0.4526848322453748
2804.0,464.32337393711754,-322.5213681514944,-4.539338339613967e-12,4.242614921098744,5.999999999999982,6.000000000000085,0.8916705908882357,-0.45268483224537637
2805.0,463.8706891048721,-323.41303874238275,1.7181546471419546e-11,4.242614921098742,5.999999999999956,6.000000000000032,0.8916705908882344,-0.452684832245379
2806.0,463.4180042726267,-324.304709333271,-6.427946320399082e-11,4.242614921098742,6.000000000000032,6.000000000000007,0.8916705908882349,-0.4526848322453781
2807.0,462.9653194403814,-325.1963799241592,2.3974158221914753e-10,4.242614921098741,6.000000000000007,6.000000000000008,0.8916705908882343,-0.45268483224537925
2808.0,462.5126346081358,-326.08805051504777,-8.9450150586374e-10,4.242614921098744,6.000000000000007,5.999999999999981,0.8916705908882352,-0.45268483224537726
2809.0,462.05994977589046,-326.97972110593577,3.3370268163908322e-09,4.24261492109874,6.000000000000083,5.999999999999906,0.8916705908882337,-0.45268483224538025
2810.0,461.60726494364525,-327.8713916968239,-1.2449520330208672e-08,4.242614921098754,5.999999999999906,6.000000000000007,0.8916705908882403,-0.45268483224536726
2811.0,461.1545801113998,-328.7630622877121,1.3398277941017635e-07,4.242614921098697,5.999999999999956,5.999999999999982,0.8916705908882148,-0.45268483224541756
2812.0,460.7018952791545,-329.6547328786004,5.682745656049011e-07,4.2426149210989115,5.9999999999999805,6.000000000000056,0.8916705908883114,-0.45268483224522704
2813.0,460.2492104469093,-330.54640346948827,1.0467976395577349e-06,4.242614921098117,6.000000000000058,6.000000000000033,0.8916705908879521,-0.452684832245935
2814.0,459.7965256146637,-331.4380740603767,1.045210217291476e-06,4.242614921101083,6.000000000000006,6.000000000000032,0.8916705908892947,-0.4526848322432902
2815.0,459.34384078241834,-332.3297446512652,-9.828479776551385e-08,4.24261492109002,5.999999999999982,6.000000000000059,0.8916705908842864,-0.4526848322531559
2816.0,458.89115595017296,-333.2214152421533,-3.0691685593831233e-06,4.242614921131299,5.999999999999958,5.999999999999957,0.891670590902973,-0.4526848322163482
2817.0,458.4384711179275,-334.11308583304145,-8.47044477226694e-06,4.242614920977298,6.0000000000000835,5.999999999999956,0.8916705908332591,-0.452684832353666
2818.0,457.9857862856821,-335.0047564239301,-1.67313345975773e-05,4.242614921551828,6.0000000000000835,6.0000000000000835,0.89167059109334,-0.4526848318413745
2819.0,457.5331014534366,-335.8964270148185,-2.8020894086746072e-05,4.242614919408414,5.9999999999999325,6.0000000000000835,0.8916705901230492,-0.4526848337525936
2820.0,457.08041662119166,-336.78809760570607,-4.2196228956330715e-05,4.2426149274048806,5.999999999999929,6.00000000000021,0.8916705937429279,-0.45268482662237997
2821.0,456.6277317889461,-337.67976819659435,-5.867376650038032e-05,4.24261489757236,6.000000000000031,5.9999999999999805,0.8916705802381985,-0.4526848532231609
2822.0,456.1750469567007,-338.57143878748275,-7.685839508117681e-05,4.242615008868778,6.0000000000000115,5.999999999999985,0.8916706306203955,-0.45268475398341634
2823.0,455.7223621244552,-339.4631093783709,-9.634576787228194e-05,4.24261459365476,5.99999999999968,5.9999999999996545,0.8916704426592628,-0.452685124217523
2824.0,455.26967729221013,-340.35477996925937,-0.00011677685831464152,4.2426161426937545,5.999999999995573,5.999999999995524,0.8916711438851027,-0.4526837429846939
2825.0,454.8169924599636,-341.24645056014685,-0.00013780668468531534,4.242610363699841,5.999999999937701,5.999999999937701,0.8916685278136177,-0.4526888959392482
